punto;Fecha;Hora;Sector;Altura(msn);Collector;Altura_planta(cm);Foto;Foto_montaje;Num_muestras;T_colecta(min);Foptico_suelo(cm);Foptico_objetivo(cm);FOV;GFOV;salud;Nubes;Cantidad_nubes_octas;Temperatura(ºC);Viento(m/s);Humedad;Espectroradiometro;id_especie;het;salud;fenologia;Longitud;Latitud;est;ze;est_fit;id_espec;Especies;Familia
1;12/05/2019;9:06:00;Quebrada La Vieja;2810,88;Nelson Nieto;30;1575554959829.jpg;no aplica;1;10;30;25;25;11,7;;Cirros;Cielo despejado;10;2;;USB 4000;;;;;-74,04363049;4,645132215;;;;;Tillandsia biflora;Bromeliaceae
2;12/05/2019;9:00:00;Quebrada La Vieja;2810,88;Nelson Nieto;160;1575554547106.jpg;no aplica;1;20;160;25;25;11,7;;Cirros;Cielo despejado;10;2;;USB 4000;;;;;-74,04363047;4,645132213;;;;;Pteridium aquilinum;Bromeliaceae
3;2/04/2020;9:24:00;Quebrada las delicias;2852,81;Nelson Nieto;600;1580826406135.jpg;no aplica;1;10;600;25;25;11,7;;Cirros;Cielo despejado;11;1;;USB 4000;;;;;-74,04952969;4,635815024;;;;;Alnus acuminata;Betulaceae
4;2/04/2020;8:42:00;Quebrada las delicias;2867,66;Nelson Nieto;250;1580823840589.jpg;no aplica;1;10;250;25;25;11,7;;Cirros;Cielo despejado;10;2;;USB 4000;;;;;-74,04948934;4,635934609;;;;;Cavendishia bracteata;Ericaceae
5;2/04/2020;9:05:00;Quebrada las delicias;2891,53;Nelson Nieto;120;1580825203553.jpg;no aplica;1;10;120;25;25;11,7;;Cirros;Cielo despejado;11;2;;USB 4000;;;;;-74,04960768;4,635978185;;;;;Chusquea scandens;Poaceae
6;2/04/2020;9:55:00;Quebrada las delicias;2878,44;Nelson Nieto;2000;1580828183274.jpg;1580828218281.jpg;1;10;2000;25;25;11,7;;Cirros;Cielo despejado;13;2;;USB 4000;;;;;-74,04955632;4,635964144;;;;;Clusia multiflora;Clusiaceae
7;2/04/2020;8:56:00;Quebrada las delicias;2907,54;Nelson Nieto;250;1580824655247.jpg;no aplica;1;15;250;25;25;11,7;;Cirros;Cielo despejado;10;2;;USB 4000;;;;;-74,04960624;4,636003281;;;;;Linochilus revolutus;Compositae
8;2/04/2020;10:51:00;Quebrada las delicias;2902,24;Nelson Nieto;2000;1580831590679.jpg;no aplica;1;10;2000;25;25;11,7;;Cirros;Cielo despejado;13;3;;USB 4000;;;;;-74,04987603;4,636404128;;;;;Meliosma bogotana;Sabiaceae
9;2/04/2020;9:45:00;Quebrada las delicias;2868,37;Nelson Nieto;100;1580827592199.jpg;no aplica;1;10;100;25;25;11,7;;Cirros;Cielo despejado;11;1;;USB 4000;;;;;-74,04960252;4,635940764;;;;;Miconia parvifolia;Melastomataceae
10;2/04/2020;8:27:00;Quebrada las delicias;2811,07;Nelson Nieto;600;1580822997641.jpg;no aplica;2;20;600;25;25;11,7;;Cirros;Cielo despejado;9;1;;USB 4000;;;;;-74,04924231;4,63578918;;;;;Miconia squamulosa;Melastomataceae
